0000.1011000001000111,0001.001100011010011,0001.0000000000000000
0001.101111011111111,0000.1101011101001101,0001.0000000000000000
0001.000011000011100,0001.001110101010101,0000.0000000000000000
0001.100000001010001,0000.0101111001000010,0001.0000000000000000
0000.1011111111101000,0000.0110111101110110,0000.0000000000000000
0001.011010100111111,0000.0011100111010011,0001.0000000000000000
0001.011100000000011,0001.110111100000110,0000.0000000000000000
0001.011100101000110,0000.1110001000010101,0001.0000000000000000
0001.100000101001010,0000.1011100010111101,0001.0000000000000000
0001.001110001100100,0001.110001000001101,0000.0000000000000000
0001.010100100000001,0000.1011100110001110,0001.0000000000000000
0001.110010010010011,0000.0000110011100000,0001.0000000000000000
0000.1101110100010011,0001.111001101111101,0001.0000000000000000
0000.0001000010000001,0001.101111010001101,0001.0000000000000000
0000.1100011100011010,0000.0100000000001101,0000.0000000000000000
0001.001010101001000,0001.011101001001101,0000.0000000000000000
0001.111101100010101,0000.0010101011001100,0001.0000000000000000
0000.0110110001011111,0000.1001110110000010,0000.0000000000000000
0001.011111101101100,0001.110100100001011,0000.0000000000000000
0000.1100100100001010,0000.0011101000110000,0000.0000000000000000
0000.0110101010000001,0001.000100110010110,0001.0000000000000000
0001.110110010101110,0000.1111111000001110,0001.0000000000000000
0000.1010000011011111,0001.010111011000110,0001.0000000000000000
0000.1001010011101110,0000.1011110010011011,0000.0000000000000000
0001.110101001000010,0000.0001011001110001,0001.0000000000000000
0000.1000001000010110,0001.000001100100010,0001.0000000000000000
0000.0110010111100000,0001.110111011010011,0001.0000000000000000
0001.100010000010010,0001.110111100001111,0000.0000000000000000
0000.0011010011101001,0000.0110110100000110,0000.0000000000000000
0000.0001110001010001,0000.0101001010000110,0000.0000000000000000
0000.0000101000011111,0001.010010001101001,0001.0000000000000000
0001.010011111101101,0001.000111101100000,0000.0000000000000000
0000.1011100001101001,0001.110110100100010,0001.0000000000000000
0001.011001000100110,0001.110101110000100,0000.0000000000000000
0000.0010101110011011,0000.1100011111100001,0000.0000000000000000
0000.1001111110001100,0001.111111101000010,0001.0000000000000000
0001.100111110101111,0000.1110000010101100,0001.0000000000000000
0000.0001010001111001,0000.1110111000001100,0000.0000000000000000
0001.011001000001101,0001.001001010101000,0000.0000000000000000
0001.111011011011101,0001.110110001101001,0000.0000000000000000
0000.0010010101100111,0000.1001101101011111,0000.0000000000000000
0000.0010100111000011,0000.0000001001011010,0000.0000000000000000
0000.0010010101100011,0001.001101100011110,0001.0000000000000000
0001.011010010101101,0001.010111000001000,0000.0000000000000000
0000.1001101110000100,0001.100010011101010,0001.0000000000000000
0001.000101110010001,0000.1100010101000001,0001.0000000000000000
0001.100011010001100,0000.1011100110111110,0001.0000000000000000
0000.0001011010011111,0000.1001101000110110,0000.0000000000000000
0001.111001001111010,0000.0001101110000010,0001.0000000000000000
0000.1111100000100010,0001.000001000011100,0001.0000000000000000
